"No.","Time","Source","Destination","Protocol","Length","Info"
"1467","37.906427000","204.80.128.1","10.33.98.162","TLSv1.2","134","Application Data, Application Data"
"1468","37.906499200","10.33.98.162","204.80.128.1","TCP","54","63539  >  443 [ACK] Seq=51848 Ack=14018 Win=255 Len=0"
"1469","37.906588100","10.33.98.162","123.16.110.247","UDP","79","9993  >  63130 Len=37"
"1470","37.906617600","10.33.98.162","123.16.110.247","UDP","79","30061  >  63130 Len=37"
"1471","37.906636400","10.33.98.162","123.16.110.247","UDP","79","55933  >  63130 Len=37"
"1472","37.906660600","10.33.98.162","123.16.110.247","UDP","79","9993  >  9993 Len=37"
"1473","37.906678700","10.33.98.162","123.16.110.247","UDP","79","30061  >  9993 Len=37"
"1474","37.906694200","10.33.98.162","123.16.110.247","UDP","79","55933  >  9993 Len=37"
"1475","37.906716300","10.33.98.162","123.16.110.247","UDP","79","9993  >  50643 Len=37"
"1476","37.906730100","10.33.98.162","123.16.110.247","UDP","79","30061  >  50643 Len=37"
"1477","37.906745100","10.33.98.162","123.16.110.247","UDP","79","55933  >  50643 Len=37"
"1478","37.906765900","10.33.98.162","123.16.110.247","UDP","79","9993  >  63137 Len=37"
"1479","37.906779900","10.33.98.162","123.16.110.247","UDP","79","30061  >  63137 Len=37"
"1480","37.906798100","10.33.98.162","123.16.110.247","UDP","79","55933  >  63137 Len=37"
"1481","37.906819400","10.33.98.162","123.16.110.247","UDP","79","9993  >  33766 Len=37"
"1482","37.906833300","10.33.98.162","123.16.110.247","UDP","79","30061  >  33766 Len=37"
"1483","37.906848800","10.33.98.162","123.16.110.247","UDP","79","55933  >  33766 Len=37"
"1484","37.979053300","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=14018 Ack=51848 Win=520 Len=0"
"1485","37.979105900","10.33.98.162","204.80.128.1","TLSv1.2","299","Application Data, Application Data, Application Data, Application Data, Application Data"
"1486","37.995989900","20.195.84.7","10.33.98.162","TLSv1.2","778","Application Data"
"1487","37.996966200","10.33.98.162","20.195.84.7","TLSv1.2","521","Application Data"
"1488","37.997224500","10.33.98.162","20.195.84.7","TLSv1.2","985","Application Data"
"1489","38.030410100","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=14018 Ack=52093 Win=520 Len=0"
"1490","38.051384800","20.195.84.7","10.33.98.162","TCP","60","443  >  65255 [ACK] Seq=1118 Ack=617 Win=9661 Len=0"
"1491","38.051384800","20.195.84.7","10.33.98.162","TCP","60","443  >  65255 [ACK] Seq=1118 Ack=1548 Win=9656 Len=0"
"1492","38.061267000","20.195.84.7","10.33.98.162","TLSv1.2","88","Application Data"
"1493","38.061267000","20.195.84.7","10.33.98.162","TLSv1.2","88","Application Data"
"1494","38.061317800","10.33.98.162","20.195.84.7","TCP","54","65255  >  443 [ACK] Seq=1548 Ack=1186 Win=255 Len=0"
"1495","38.180489200","20.195.84.7","10.33.98.162","TLSv1.2","450","Application Data"
"1496","38.226698100","10.33.98.162","20.195.84.7","TCP","54","65255  >  443 [ACK] Seq=1548 Ack=1582 Win=254 Len=0"
"1497","38.622575700","10.33.98.162","10.22.103.10","DNS","74","Standard query 0x90c7 AAAA wpad.fu.edu.vn"
"1498","38.622818700","10.33.98.162","10.22.103.10","DNS","74","Standard query 0xfb23 A wpad.fu.edu.vn"
"1499","40.245199100","Cisco_f5:74:20","Broadcast","ARP","60","Gratuitous ARP for 10.33.89.198 (Reply)"
"1500","42.634608500","10.33.98.162","10.22.103.10","DNS","83","Standard query 0x9d81 AAAA www.msftconnecttest.com"
"1501","42.634745200","10.33.98.162","10.22.103.10","DNS","84","Standard query 0x8fe3 A ipv6.msftconnecttest.com"
"1502","42.667550600","10.22.103.10","10.33.98.162","DNS","213","Standard query response 0x9d81 AAAA www.msftconnecttest.com SOA fake-for-negative-caching.adguard.com"
"1503","42.667550600","10.22.103.10","10.33.98.162","DNS","229","Standard query response 0x8fe3 A ipv6.msftconnecttest.com CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net SOA n0i6g1.akamai.net"
"1504","42.932681500","10.33.98.162","204.80.128.1","TLSv1.2","99","Application Data"
